Study,Species,Genus,Family,Order,Migration_distance,Location,Latitude,Longitude,Continent,Start_year,End_year,Predictor,Response_variable,Slope,SE,SE_calc,N,P_value,T_value,Temperature_location,Data_source,Arrival_location,,gendiet,maindiet,bodymass,bodysource,genhabitat,mainhabitat,hemisphere
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Oporornis formosus,Oporornis,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.97,1.65,,,,,passage,standardized capture and ringing,passage,,1,inv,14,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Geothlypis trichas,Geothlypis,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.69,0.39,,,,,passage,standardized capture and ringing,passage,,1,inv,9.54,Dunning08,3,0,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Geothlypis trichas,Geothlypis,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.32,0.58,,,,,passage,standardized capture and ringing,passage,,1,inv,9.54,Dunning08,3,0,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Icteria virens,Icteria,Icteridae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.8,0.9,,,,,passage,standardized capture and ringing,passage,,2,inv,24.89,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Seiurus noveboracensis,Seiurus,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-1.33,0.53,,,,,passage,standardized capture and ringing,passage,,1,inv,16.3,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Seiurus noveboracensis,Seiurus,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,0.51,1.05,,,,,passage,standardized capture and ringing,passage,,1,inv,16.3,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Seiurus aurocapilla,Seiurus,Parulidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.89,1.16,,,,,passage,standardized capture and ringing,passage,,1,inv,18.8,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Seiurus aurocapilla,Seiurus,Parulidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.55,1.51,,,,,passage,standardized capture and ringing,passage,,1,inv,18.8,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Icterus galbula,Icterus,Icteridae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.82,0.95,,,,,passage,standardized capture and ringing,passage,,3,inv,32.83,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Icterus galbula,Icterus,Icteridae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.44,0.53,,,,,passage,standardized capture and ringing,passage,,3,inv,32.83,Dunning08,3,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Piranga olivacea,Piranga,Cardinalidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-2.49,0.82,,,,,passage,standardized capture and ringing,passage,,1,inv,28.2,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Passerina cyanea,Passerina,Cardinalidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.9,0.43,,,,,passage,standardized capture and ringing,passage,,1,other,14.69,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Passerina cyanea,Passerina,Cardinalidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.3,0.52,,,,,passage,standardized capture and ringing,passage,,1,other,14.69,Dunning08,2,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Pheucticus ludovicianus,Pheucticus,Cardinalidae,Passeriformes,long,United States,40.2,-79.2,North America,1961,2001,temperature,median arrival,-0.41,1.36,,,,,passage,standardized capture and ringing,passage,,3,inv,42,Dunning08,1,1,northern
"Marra, P.P., Francis, C.M., Mulvihill, R.S. & Moore, F.R. (2005) The influence of climate on the timing and rate of spring bird migration. Oecologia, 142, 307–315.      ",Pheucticus ludovicianus,Pheucticus,Cardinalidae,Passeriformes,long,Canada,42.6,-80.2,North America,1961,2001,temperature,median arrival,-1.85,0.54,,,,,passage,standardized capture and ringing,passage,,3,inv,42,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Archilochus colubris,Archilochus,Trochilidae,Apodiformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-1.927,1.759,,,,,passage,citizen science data,passage,,2,other,3.09,Dunning08,2,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Empidonax minimus,Empidonax,Tyrannidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,3.664,1.99,,,,,passage,citizen science data,passage,,1,inv,10,Dunning08,2,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Vireo olivaceus,Vireo,Vireonidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-3.844,1.623,,,,,passage,citizen science data,passage,,3,inv,16.06,Dunning08,2,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Regulus satrapa,Regulus,Regulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-3.942,2.158,,,,,passage,citizen science data,passage,,1,inv,6.19,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Regulus calendula,Regulus,Regulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-1.968,1.401,,,,,passage,citizen science data,passage,,2,inv,6.19,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Catharus fuscescens,Catharus,Turdidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-1.828,1.613,,,,,passage,citizen science data,passage,,2,inv,31.9,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Catharus ustulatus,Catharus,Turdidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,0.022,1.353,,,,,passage,citizen science data,passage,,2,inv,30.3,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Catharus guttatus,Catharus,Turdidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,0.146,1.797,,,,,passage,citizen science data,passage,,2,inv,30.1,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Vermivora ruficapilla,Vermivora,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-2.258,0.984,,,,,passage,citizen science data,passage,,1,inv,8.09,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Parula americana,Parula,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-1.202,1.043,,,,,passage,citizen science data,passage,,1,inv,7.84,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Dendroica petechia,Dendroica,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,1.021,3.029,,,,,passage,citizen science data,passage,,1,inv,10.22,Dunning08,3,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Dendroica pensylvanica,Dendroica,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-0.957,1.59,,,,,passage,citizen science data,passage,,1,inv,9.29,Dunning08,3,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Dendroica magnolia,Dendroica,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,0.846,1.609,,,,,passage,citizen science data,passage,,1,inv,8.14,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Dendroica caerulescens,Dendroica,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-3.667,1.062,,,,,passage,citizen science data,passage,,1,inv,10.14,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Dendroica coronata,Dendroica,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-0.647,1.22,,,,,passage,citizen science data,passage,,1,inv,11.94,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Dendroica virens,Dendroica,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-2.354,1.251,,,,,passage,citizen science data,passage,,3,inv,8.69,Dunning08,2,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Dendroica fusca,Dendroica,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,0.515,1.262,,,,,passage,citizen science data,passage,,2,inv,9.74,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Dendroica palmarum,Dendroica,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-4.449,1.165,,,,,passage,citizen science data,passage,,1,inv,10.3,Dunning08,3,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Dendroica striata,Dendroica,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,1.579,1.087,,,,,passage,citizen science data,passage,,1,inv,11.84,Dunning08,2,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Mniotilta varia,Mniotilta,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-0.035,1.333,,,,,passage,citizen science data,passage,,2,inv,10.9,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Setophaga ruticilla,Setophaga,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-0.951,1.671,,,,,passage,citizen science data,passage,,1,inv,8.24,Dunning08,3,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Seiurus aurocapilla,Seiurus,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-1.162,1.592,,,,,passage,citizen science data,passage,,1,inv,18.8,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Seiurus noveboracensis,Seiurus,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-1.447,1.923,,,,,passage,citizen science data,passage,,1,inv,16.3,Dunning08,3,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Geothlypis trichas,Geothlypis,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-1.288,2.384,,,,,passage,citizen science data,passage,,1,inv,9.54,Dunning08,3,0,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Wilsonia pusilla,Wilsonia,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,0.573,2.076,,,,,passage,citizen science data,passage,,1,inv,6.96,Dunning08,4,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Wilsonia canadensis,Wilsonia,Parulidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-3.296,1.703,,,,,passage,citizen science data,passage,,1,inv,10.04,Dunning08,1,1,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Melospiza lincolnii,Melospiza,Emberizidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,-0.071,2.155,,,,,passage,citizen science data,passage,,2,inv,16.6,Dunning08,3,0,northern
"Miller-Rushing, A.J., Primack, R.B. & Stymeist, R. (2008) Interpreting variation in bird migration times as observed by volunteers. The Auk, 125, 565–573.  ",Zonotrichia albicollis,Zonotrichia,Emberizidae,Passeriformes,unclassified,United States,42.4,-70.6,North America,1980,2004,temperature,peak arrival,3.072,3.08,,,,,passage,citizen science data,passage,,3,other,24.4,Dunning08,2,1,northern
